plural,male,female,title,male_eng,female_eng,male_cnt,female_cnt
Гуляевы,Гуляев,Гуляева,3,gulyaev,gulyaeva,21746,24125
Гуминский,Гуминский,Гуминская,6,guminsky,guminskaya,367,285
Гундиусы,Гундиус,Гундиус,1,gundius,gundius,-,-
Гунт,Гунт,Гунт,2,gunt,gunt,98,98
Гурджия,Гурджия,Гурджия,2,gurdzhiya,gurdzhiya,9,9
Гуржиа,Гуржиа,Гуржиа,2,gurzhia,gurzhia,-,-
Гуренко,Гуренко,Гуренко,2,gurenko,gurenko,2576,2576
Гурландье,Гурландье,Гурландье,2,gurlande,gurlande,-,-
Гуруста,Гуруста,Гуруста,2,gurusta,gurusta,-,-
Гурьевы,Гурьев,Гурьева,2,gurev,gureva,8367,8515
Гурьяновы,Гурьянов,Гурьянова,3,guryanov,guryanova,12339,13904
Гусевы,Гусев,Гусева,1,gusev,guseva,89728,102234
Гусятниковы,Гусятников,Гусятникова,3,gusyatnikov,gusyatnikova,349,371
Гутт,Гутт,Гутт,3,gutt,gutt,18,18
Гучковы,Гучков,Гучкова,3,guchkov,guchkova,156,111
Давидовы,Давидов,Давидова,1,davidov,davidova,2214,1592
Давыдовы,Давыдов,Давыдова,1,davydov,davydova,66041,86567
Дагаевы,Дагаев,Дагаева,3,dagaev,dagaeva,1353,1344
Дадьян,Дадьян,Дадьян,4,dadyan,dadyan,157,157
Дадиан,Дадиан,Дадиан,4,dadian,dadian,25,25
Даевы,Даев,Даева,2,daev,daeva,327,722
Даксергоф,Даксергоф,Даксергоф,2,daksergof,daksergof,-,-
Далбинины,Далбинин,Далбинина,3,dalbinin,dalbinina,-,-
Далинины,Далинин,Далинина,2,dalinin,dalinina,57,93
Дали,Дали,Дали,3,dali,dali,310,310
Даль,Даль,Даль,3,dal,dal,346,346
Дам,Дам,Дам,3,dam,dam,250,250
Данзас,Данзас,Данзас,3,danzas,danzas,15,15
Данилевские,Данилевский,Данилевская,3,danilevsky,danilevskaya,873,1109
Данилины,Данилин,Данилина,2,danilin,danilina,10512,11473
Даниловы,Данилов,Данилова,1,danilov,danilova,88748,102035
Даниловичи,Данилович,Данилович,3,danilovich,danilovich,1417,1417
Данковы,Данков,Данкова,3,dankov,dankova,1648,1452
Данковские,Данковский,Данковская,2,dankovsky,dankovskaya,166,196
Даньшины,Даньшин,Даньшина,2,danshin,danshina,3222,3123
Дараган,Дараган,Дараган,3,daragan,daragan,703,703
Даркшевичи,Даркшевич,Даркшевич,3,darkshevich,darkshevich,12,12
Датские,Датский,Датская,2,datsky,datskaya,593,305
Дашкевич,Дашкевич,Дашкевич,1,dashkevich,dashkevich,3552,3552
Дашковы,Дашков,Дашкова,2,dashkov,dashkova,1551,2601
Двигубские,Двигубский,Двигубская,3,dvigubsky,dvigubskaya,6,17
Дворяшевы,Дворяшев,Дворяшева,3,dvoryashev,dvoryasheva,-,-
Девиеры,Девиер,Девиер,5,devier,devier,2,2
Девятовы,Девятов,Девятова,2,devyatov,devyatova,3802,3793
Дегилевы,Дегилев,Дегилева,2,degilev,degileva,24,12
Деденев,Деденев,Деденева,6,dedenev,dedeneva,105,117
Дейч,Дейч,Дейч,3,deych,deych,383,383
Декер,Декер,Декер,3,deker,deker,43,43
Декиндлейн,Декиндлейн,Декиндлейн,2,dekindleyn,dekindleyn,-,-
Декинлейн,Декинлейн,Декинлейн,2,dekinleyn,dekinleyn,-,-
Деконские,Деконский,Деконская,2,dekonsky,dekonskaya,13,19
Делед,Делед,Делед,3,deled,deled,17,17
Делицын,Делицын,Делицына,4,delitsyn,delitsyna,13,24
Лицын,Лицын,Лицына,4,litsyn,litsyna,5,3
Де-Лицын,Де-Лицын,Де-Лицына,4,de-litsyn,de-litsyna,-,-
Делло,Делло,Делло,1,dello,dello,44,44
Делоне,Делоне,Делоне,3,delone,delone,11,11
Дельвиг,Дельвиг,Дельвиг,3,delvig,delvig,90,90
Дельвич,Дельвич,Дельвич,3,delvich,delvich,1,1
Дельсал,Дельсал,Дельсал,3,delsal,delsal,4,4
Делюсто,Делюсто,Делюсто,3,deljusto,deljusto,0,0
Дембинские,Дембинский,Дембинская,2,dembinsky,dembinskaya,25,22
Дембицкий,Дембицкий,Дембицкая,3,dembitsky,dembitskaya,44,340
Дембские,Дембский,Дембская,2,dembsky,dembskaya,9,26
Демидовы,Демидов,Демидова,1,demidov,demidova,40146,46346
Демидовские,Демидовский,Демидовская,1,demidovsky,demidovskaya,99,131
Дензель,Дензель,Дензель,3,denzel,denzel,17,17
Денисовы,Денисов,Денисова,1,denisov,denisova,70962,87300
Деннет,Деннет,Деннет,2,dennet,dennet,0,0
Денщиков,Денщиков,Денщикова,2,denschikov,denschikova,109,203
Депаловичи,Депалович,Депалович,3,depalovich,depalovich,-,-
Депафовичи,Депафович,Депафович,3,depafovich,depafovich,-,-
Дервиз,Дервиз,Дервиз,3,derviz,derviz,10,10
Державины,Державин,Державина,3,derzhavin,derzhavina,1401,1393
Дероше,Дероше,Дероше,3,deroshe,deroshe,0,0
Дерош,Дерош,Дерош,3,derosh,derosh,1,1
Дерюгин,Дерюгин,Дерюгина,3,derjugin,derjugina,1,0
Десницкие,Десницкий,Десницкая,3,desnitsky,desnitskaya,19,141
Десрендов,Десрендов,Десрендова,3,desrendov,desrendova,-,-
Дестюд-де-Блане,Дестюд-де-Блане,Дестюд-де-Блане,2,destjud-de-blane,destjud-de-blane,-,-
Дефендовы,Дефендов,Дефендова,3,defendov,defendova,-,-
Дефорж,Дефорж,Дефорж,3,deforzh,deforzh,11,11
Дехтеревы,Дехтерев,Дехтерева,2,dekhterev,dekhtereva,98,224
Джеджелей,Джеджелей,Джеджелей,3,dzhedzhelej,dzhedzhelej,-,-
Джежалей,Джежалей,Джежалей,3,dzhezhalej,dzhezhalej,-,-
Джежель,Джежель,Джежель,2,dzhezhel,dzhezhel,-,-
Джежелей,Джежелей,Джежелей,2,dzhezhelej,dzhezhelej,-,-
Джолио,Джолио,Джолио,2,dzholio,dzholio,1,1
Джунковский,Джунковский,Джунковская,2,dzhunkovsky,dzhunkovskaya,55,66
Дзержановские,Дзержановский,Дзержановская,1,dzerzhanovsky,dzerzhanovskaya,4,6
Диатроптовы,Диатроптов,Диатроптова,3,diatroptov,diatroptova,9,11
Диотроптовы,Диотроптов,Диотроптова,3,diotroptov,diotroptova,-,-
Дивовы,Дивов,Дивова,2,divov,divova,33,19
Дикгоф,Дикгоф,Дикгоф,3,dikgof,dikgof,-,-
Дирины,Дирин,Дирина,6,dirin,dirina,206,223
Дислен,Дислен,Дислен,3,dislen,dislen,0,0
Дитмары,Дитмар,Дитмар,3,ditmar,ditmar,48,48
Дитятевы,Дитятев,Дитятева,2,dityatev,dityateva,476,454
Дмитревские,Дмитревский,Дмитревская,3,dmitrevsky,dmitrevskaya,64,87
Дмитриевы,Дмитриев,Дмитриева,2,dmitriev,dmitrieva,103248,119461
Дмитриев-Мамонов,Дмитриев-Мамонов,Дмитриева-Мамонова,5,dmitriev-mamonov,dmitrieva-mamonova,-,-
Дмоховские,Дмоховский,Дмоховская,2,dmokhovsky,dmokhovskaya,11,12
Добринские,Добринский,Добринская,2,dobrinsky,dobrinskaya,549,436
Добровы,Добров,Доброва,1,dobrov,dobrova,3575,4015
Добровольские,Добровольский,Добровольская,1,dobrovolsky,dobrovolskaya,5875,6770
Доброклонский,Доброклонский,Доброклонская,3,dobroklonsky,dobroklonskaya,-,20
Добротворские,Добротворский,Добротворская,3,dobrotvorsky,dobrotvorskaya,232,1029
Доброхотовы,Доброхотов,Доброхотова,1,dobrokhotov,dobrokhotova,1057,1386
Добрышин,Добрышин,Добрышина,2,dobryshin,dobryshina,68,83
Догель,Догель,Догель,3,dogel,dogel,40,40
Долбинины,Долбинин,Долбинина,2,dolbinin,dolbinina,7,8
Долговы,Долгов,Долгова,2,dolgov,dolgova,27901,24994
Долголевич,Долголевич,Долголевич,3,dolgolevich,dolgolevich,13,13
Довголевич,Довголевич,Довголевич,3,dovgolevich,dovgolevich,-,-
Долгополов,Долгополов,Долгополова,3,dolgopolov,dolgopolova,9010,9100
Долгорукие,Долгорукий,Долгорукая,3,dolgoruky,dolgorukaya,23,-
Долгоруковы,Долгоруков,Долгорукова,3,dolgorukov,dolgorukova,1190,1501
Доломанов,Доломанов,Доломанова,2,dolomanov,dolomanova,220,938
Домбровский,Домбровский,Домбровская,6,dombrovsky,dombrovskaya,1958,2641
Доментиановы,Доментианов,Доментианова,2,domentianov,domentianova,-,-
Домерников,Домерников,Домерникова,3,domernikov,domernikova,-,-
Доминициус,Доминициус,Доминициус,2,dominitsius,dominitsius,-,-
Доммес,Доммес,Доммес,3,dommes,dommes,6,6
Доможировы,Доможиров,Доможирова,2,domozhirov,domozhirova,1561,963
Доппельмаер,Доппельмаер,Доппельмаер,3,doppelmaer,doppelmaer,-,-
Доппельмайер,Доппельмайер,Доппельмайер,2,doppelmayer,doppelmayer,6,6
Доппельмайр,Доппельмайр,Доппельмайр,2,doppelmayr,doppelmayr,0,0
Доппельмаир,Доппельмаир,Доппельмаир,2,doppelmair,doppelmair,0,0
Допельмеер,Допельмеер,Допельмеер,2,dopelmeer,dopelmeer,-,-
Дормидонтов,Дормидонтов,Дормидонтова,3,dormidontov,dormidontova,1449,1121
Дорошевич,Дорошевич,Дорошевич,2,doroshevich,doroshevich,314,314
Дорошинские,Дорошинский,Дорошинская,2,doroshinsky,doroshinskaya,4,3
Доссе,Доссе,Доссе,2,dosse,dosse,17,17
Достоевские,Достоевский,Достоевская,3,dostoevsky,dostoevskaya,451,388
Ф.,Ф.,Ф.,3,f.,f.,-,-
М.,М.,М.,3,m.,m.,-,-
Достоевского;,Достоевского,Достоевского,3,dostoevskogo,dostoevskogo,-,-
Дохтуров,Дохтуров,Дохтурова,6,dokhturov,dokhturova,16,16
Драшусовы,Драшусов,Драшусова,3,drashusov,drashusova,-,-
Драмусовы,Драмусов,Драмусова,3,dramusov,dramusova,-,-
Дрегаловы,Дрегалов,Дрегалова,3,dregalov,dregalova,44,36
Дрейер,Дрейер,Дрейер,3,dreyer,dreyer,85,85
Дрет,Дрет,Дрет,3,dret,dret,5,5
Држевинские,Држевинский,Држевинская,3,drzhevinsky,drzhevinskaya,-,-
Дримпельман,Дримпельман,Дримпельман,3,drimpelman,drimpelman,-,-
Другов,Другов,Другова,1,drugov,drugova,2309,2570
Друговцов,Друговцов,Друговцова,6,drugovtsov,drugovtsova,-,-
Дружинины,Дружинин,Дружинина,3,druzhinin,druzhinina,16526,18339
Друковцовы,Друковцов,Друковцова,3,drukovtsov,drukovtsova,-,-
Друковцевы,Друковцев,Друковцева,3,drukovtsev,drukovtseva,-,-
Друцкие,Друцкий,Друцкая,3,drutsky,drutskaya,12,32
Друцкий-Соколинский,Друцкий-Соколинский,Друцкая-Соколинская,5,drutskiy-sokolinsky,drutskaya-sokolinskaya,-,-
Дубельт,Дубельт,Дубельт,2,dubelt,dubelt,6,6
Дубенские,Дубенский,Дубенская,3,dubensky,dubenskaya,718,526
Дубинин,Дубинин,Дубинина,2,dubinin,dubinina,14348,13653
Дубинкины,Дубинкин,Дубинкина,3,dubinkin,dubinkina,1135,1167
Дубинские,Дубинский,Дубинская,3,dubinsky,dubinskaya,1737,1182
Дубницкие,Дубницкий,Дубницкая,2,dubnitsky,dubnitskaya,29,229
Дубровины,Дубровин,Дубровина,2,dubrovin,dubrovina,13629,17857
Дубровские,Дубровский,Дубровская,2,dubrovsky,dubrovskaya,9042,10743
Дугин,Дугин,Дугина,3,dugin,dugina,2475,2645
Дудинский,Дудинский,Дудинская,6,dudinsky,dudinskaya,354,320
Дудицкие-Лишины,Дудицкий-Лишин,Дудицкая-Лишина,2,duditskiy-lishin,duditskaya-lishina,-,-
Дудышкины,Дудышкин,Дудышкина,2,dudyshkin,dudyshkina,132,11
Дукмасов,Дукмасов,Дукмасова,2,dukmasov,dukmasova,85,72
Дульцовы,Дульцов,Дульцова,3,dultsov,dultsova,3,5
Думашевы,Думашев,Думашева,6,dumashev,dumasheva,4,2
Дураков,Дураков,Дуракова,6,durakov,durakova,1752,970
Дурандины,Дурандин,Дурандина,2,durandin,durandina,925,722
Дурасовы,Дурасов,Дурасова,2,durasov,durasova,1012,613
Дурашины,Дурашин,Дурашина,2,durashin,durashina,6,14
Дурнов,Дурнов,Дурнова,6,durnov,durnova,1159,1229
Дурново,Дурново,Дурново,2,durnovo,durnovo,66,66
Дуровы,Дуров,Дурова,2,durov,durova,4931,3698
Дуссеты,Дуссет,Дуссет,2,dusset,dusset,0,0
Дуссед,Дуссед,Дуссед,2,dussed,dussed,0,0
Дуссик,Дуссик,Дуссик,3,dussik,dussik,0,0
Духовниковы,Духовников,Духовникова,3,dukhovnikov,dukhovnikova,207,402
Духовницкие,Духовницкий,Духовницкая,3,dukhovnitsky,dukhovnitskaya,2,3
Духовские,Духовский,Духовская,1,dukhovsky,dukhovskaya,95,226
Дынниковы,Дынников,Дынникова,2,dynnikov,dynnikova,163,291
Дыховы,Дыхов,Дыхова,3,dykhov,dykhova,31,12
Дьяковы,Дьяков,Дьякова,2,dyakov,dyakova,13771,15616
Дьяконовы,Дьяконов,Дьяконова,2,dyakonov,dyakonova,9464,11141
Дьячковы,Дьячков,Дьячкова,1,dyachkov,dyachkova,9824,10942
Дюсосе,Дюсосе,Дюсосе,3,djusose,djusose,-,-
Дягилевы,Дягилев,Дягилева,3,dyagilev,dyagileva,3229,3641
Евдокимовы,Евдокимов,Евдокимова,2,evdokimov,evdokimova,45506,48322
Евениер,Евениер,Евениер,3,evenier,evenier,-,-
Евлаховы,Евлахов,Евлахова,6,evlakhov,evlakhova,386,887
Евлашевы,Евлашев,Евлашева,6,evlashev,evlasheva,51,37
Евневичи,Евневич,Евневич,2,evnevich,evnevich,170,170
Евреиновы,Евреинов,Евреинова,1,evreinov,evreinova,91,85
Еврейновы,Еврейнов,Еврейнова,1,evreynov,evreynova,35,19
Евсевьевы,Евсевьев,Евсевьева,2,evsevev,evseveva,150,382
Егерц,Егерц,Егерц,2,egerts,egerts,0,0
Егоровы,Егоров,Егорова,1,egorov,egorova,168709,171174
Езерский,Езерский,Езерская,6,ezersky,ezerskaya,490,713
Езопин,Езопин,Езопина,2,ezopin,ezopina,-,-
Езобин,Езобин,Езобина,2,ezobin,ezobina,-,-
Елагины,Елагин,Елагина,2,elagin,elagina,3911,6576
Елесины,Елесин,Елесина,2,elesin,elesina,1935,2313
Елины,Елин,Елина,3,elin,elina,3629,44
Елисеевы,Елисеев,Елисеева,2,eliseev,eliseeva,42540,43495
Елфимовы,Елфимов,Елфимова,3,elfimov,elfimova,4807,5828
Емельяновы,Емельянов,Емельянова,2,emelyanov,emelyanova,51424,57047
Енгалычевы,Енгалычев,Енгалычева,1,engalychev,engalycheva,493,642
Енишерловы,Енишерлов,Енишерлова,3,enisherlov,enisherlova,14,2
Енчев,Енчев,Енчева,3,enchev,encheva,23,46
Ерговские,Ерговский,Ерговская,3,ergovsky,ergovskaya,-,-
Ержемские,Ержемский,Ержемская,3,erzhemsky,erzhemskaya,-,7
Ермилов,Ермилов,Ермилова,3,ermilov,ermilova,9046,10607
Ермолаевы,Ермолаев,Ермолаева,3,ermolaev,ermolaeva,28725,35153
Ермоловы,Ермолов,Ермолова,2,ermolov,ermolova,7108,6299
Еропкины,Еропкин,Еропкина,6,eropkin,eropkina,299,258
Ерапкины,Ерапкин,Ерапкина,6,erapkin,erapkina,-,-
Ерунковы,Ерунков,Ерункова,2,erunkov,erunkova,19,35
Ершовы,Ершов,Ершова,2,ershov,ershova,42260,48451
Ершевы,Ершев,Ершева,2,ershev,ersheva,41,32
Есауловы,Есаулов,Есаулова,3,esaulov,esaulova,2010,2424
Есеневы,Есенев,Есенева,6,esenev,eseneva,11,9
Есиповы,Есипов,Есипова,1,esipov,esipova,3281,3463
Ефановы,Ефанов,Ефанова,2,efanov,efanova,7945,8126
Ефимов,Ефимов,Ефимова,3,efimov,efimova,69941,81651
Ефимовские,Ефимовский,Ефимовская,5,efimovsky,efimovskaya,291,341
Ефимьев,Ефимьев,Ефимьева,2,efimev,efimeva,127,100
Ефремовы,Ефремов,Ефремова,2,efremov,efremova,64235,68925
Ешевские,Ешевский,Ешевская,1,eshevsky,eshevskaya,29,18
Жаглевские,Жаглевский,Жаглевская,2,zhaglevsky,zhaglevskaya,-,0
Жавглевские,Жавглевский,Жавглевская,2,zhavglevsky,zhavglevskaya,-,-
Жардецкие,Жардецкий,Жардецкая,1,zhardetsky,zhardetskaya,2,44
Жарковы,Жарков,Жаркова,2,zharkov,zharkova,14770,16581
Жаровы,Жаров,Жарова,1,zharov,zharova,9516,11081
Ждановы,Жданов,Жданова,2,zhdanov,zhdanova,38660,45594
Ждановские,Ждановский,Ждановская,3,zhdanovsky,zhdanovskaya,365,290
Жебровские,Жебровский,Жебровская,3,zhebrovsky,zhebrovskaya,133,143
Жегулины,Жегулин,Жегулина,3,zhegulin,zhegulina,70,278
Жедринские,Жедринский,Жедринская,6,zhedrinsky,zhedrinskaya,23,3
Железниковы,Железников,Железникова,2,zheleznikov,zheleznikova,839,1790
Желтоуховы,Желтоухов,Желтоухова,2,zheltoukhov,zheltoukhova,259,257
Желтухины,Желтухин,Желтухина,2,zheltukhin,zheltukhina,913,762
Желябужский,Желябужский,Желябужская,2,zhelyabuzhsky,zhelyabuzhskaya,-,1
Жердецкий,Жердецкий,Жердецкая,1,zherdetsky,zherdetskaya,21,187
Жеребцовы,Жеребцов,Жеребцова,2,zherebtsov,zherebtsova,6009,4523
Жерков,Жерков,Жеркова,2,zherkov,zherkova,12,6
Жерносековы,Жерносеков,Жерносекова,3,zhernosekov,zhernosekova,45,95
Жесковы,Жесков,Жескова,3,zheskov,zheskova,7,13
Живаго,Живаго,Живаго,3,zhivago,zhivago,250,250
Живаревы,Живарев,Живарева,2,zhivarev,zhivareva,5,14
Жигаревы,Жигарев,Жигарева,2,zhigarev,zhigareva,1504,1766
Жилины,Жилин,Жилина,3,zhilin,zhilina,10098,10797
Жилярди,Жилярди,Жилярди,3,zhilyardi,zhilyardi,-,-
Жирард,Жирард,Жирард,2,zhirard,zhirard,-,-
Жодейко,Жодейко,Жодейко,3,zhodeyko,zhodeyko,-,-
Жоли,Жоли,Жоли,3,zholi,zholi,9,9
Жолобов,Жолобов,Жолобова,2,zholobov,zholobova,3268,3736
Жорж,Жорж,Жорж,2,zhorzh,zhorzh,165,165
Жуковы,Жуков,Жукова,1,zhukov,zhukova,95596,109606
Жуковские,Жуковский,Жуковская,2,zhukovsky,zhukovskaya,5005,5868
Жульен,Жульен,Жульен,2,zhulen,zhulen,14,14
Журавлевы,Журавлев,Журавлева,1,zhuravlev,zhuravleva,35679,46555
Журин,Журин,Журина,3,zhurin,zhurina,1859,2165
Забелины,Забелин,Забелина,2,zabelin,zabelina,6976,9181
Забельский,Забельский,Забельская,2,zabelsky,zabelskaya,53,68
Забиякины,Забиякин,Забиякина,3,zabiyakin,zabiyakina,151,125
Заблоцкие,Заблоцкий,Заблоцкая,6,zablotsky,zablotskaya,278,1352
Заболотские-Платоновы,Заболотский-Платонов,Заболотская-Платонова,3,zabolotskiy-platonov,zabolotskaya-platonova,-,-
Заболотские,Заболотский,Заболотская,3,zabolotsky,zabolotskaya,2376,3560
Заборовские,Заборовский,Заборовская,3,zaborovsky,zaborovskaya,1300,1098
Забусовы,Забусов,Забусова,6,zabusov,zabusova,179,326
Завадовские,Завадовский,Завадовская,1,zavadovsky,zavadovskaya,106,168
Завадские,Завадский,Завадская,1,zavadsky,zavadskaya,2238,2937
Завалевский,Завалевский,Завалевская,3,zavalevsky,zavalevskaya,17,32
Завалишины,Завалишин,Завалишина,2,zavalishin,zavalishina,1722,1693
Завальский,Завальский,Завальская,2,zavalsky,zavalskaya,155,212
Заверняевы,Заверняев,Заверняева,2,zavernyaev,zavernyaeva,157,211
Завьяловы,Завьялов,Завьялова,2,zavyalov,zavyalova,20269,23776
Загарины,Загарин,Загарина,2,zagarin,zagarina,229,240
Загорянский,Загорянский,Загорянская,2,zagoryansky,zagoryanskaya,67,66
Загоскины,Загоскин,Загоскина,6,zagoskin,zagoskina,1206,1570
Загребельские,Загребельский,Загребельская,2,zagrebelsky,zagrebelskaya,10,21
Загряжские,Загряжский,Загряжская,4,zagryazhsky,zagryazhskaya,19,48
Загряской,Загряской,Загряская,4,zagryaskoy,zagryaskaya,-,1
Зайковские,Зайковский,Зайковская,3,zaykovsky,zaykovskaya,296,437
Зайончковские,Зайончковский,Зайончковская,2,zayonchkovsky,zayonchkovskaya,56,55
Заиончковские,Заиончковский,Заиончковская,2,zaionchkovsky,zaionchkovskaya,15,15
Зайцевы,Зайцев,Зайцева,2,zaytsev,zaytseva,144972,187519
Зайцовы,Зайцов,Зайцова,2,zaytsov,zaytsova,58,107
Заицовы,Заицов,Заицова,2,zaitsov,zaitsova,1,1
Зайченко,Зайченко,Зайченко,3,zaychenko,zaychenko,6715,6715
Заки,Заки,Заки,2,zaki,zaki,56,56
Зак,Зак,Зак,2,zak,zak,447,447
Закалинские,Закалинский,Закалинская,1,zakalinsky,zakalinskaya,37,15
Закревский,Закревский,Закревская,5,zakrevsky,zakrevskaya,1137,2343
Закройщиков,Закройщиков,Закройщикова,1,zakroyschikov,zakroyschikova,2,12
Закс,Закс,Закс,3,zaks,zaks,116,116
Залесские,Залесский,Залесская,3,zalessky,zalesskaya,1021,1175
Залеские,Залеский,Залеская,3,zalesky,zaleskaya,112,131
Залетов,Залетов,Залетова,3,zaletov,zaletova,388,455
Заливские,Заливский,Заливская,2,zalivsky,zalivskaya,4,2
Залуговские,Залуговский,Залуговская,3,zalugovsky,zalugovskaya,17,37
Залуский,Залуский,Залуская,2,zalusky,zaluskaya,12,15
Залусский,Залусский,Залусская,2,zalussky,zalusskaya,3,3
Зальцман,Зальцман,Зальцман,3,zaltsman,zaltsman,542,542
Залюбовские,Залюбовский,Залюбовская,1,zaljubovsky,zaljubovskaya,0,-
Замыцкий,Замыцкий,Замыцкая,2,zamytsky,zamytskaya,42,167
Замоцкий,Замоцкий,Замоцкая,2,zamotsky,zamotskaya,0,-
Замятнины,Замятнин,Замятнина,1,zamyatnin,zamyatnina,52,67
Зандгаген,Зандгаген,Зандгаген,3,zandgagen,zandgagen,-,-
Зангаген,Зангаген,Зангаген,3,zangagen,zangagen,-,-
Зандраген,Зандраген,Зандраген,3,zandragen,zandragen,-,-
Зандуашевы,Зандуашев,Зандуашева,2,zanduashev,zanduasheva,-,-
Запольский,Запольский,Запольская,3,zapolsky,zapolskaya,1170,1616
Зарецкие,Зарецкий,Зарецкая,3,zaretsky,zaretskaya,514,4339
Заридзевы,Заридзев,Заридзева,4,zaridzev,zaridzeva,-,-
Зарины,Зарин,Зарина,1,zarin,zarina,298,2
Заркевичи,Заркевич,Заркевич,3,zarkevich,zarkevich,30,30
Зарубины,Зарубин,Зарубина,2,zarubin,zarubina,12268,12794
Засекин,Засекин,Засекина,5,zasekin,zasekina,71,49
Засецкие,Засецкий,Засецкая,2,zasetsky,zasetskaya,28,132
Затопляевы,Затопляев,Затопляева,3,zatoplyaev,zatoplyaeva,77,80
Затрапезновы,Затрапезнов,Затрапезнова,2,zatrapeznov,zatrapeznova,-,2
Заумистовы,Заумистов,Заумистова,2,zaumistov,zaumistova,-,-
Заумистровы,Заумистров,Заумистрова,2,zaumistrov,zaumistrova,-,-
Заусцинские,Заусцинский,Заусцинская,3,zaustsinsky,zaustsinskaya,-,-
Захаревичи,Захаревич,Захаревич,2,zakharevich,zakharevich,1237,1237
Захаровы,Захаров,Захарова,1,zakharov,zakharova,155349,178591
Захарьины,Захарьин,Захарьина,2,zakharin,zakharina,1031,1188
Заяицкий,Заяицкий,Заяицкая,3,zayaitsky,zayaitskaya,0,-
Заянцкий,Заянцкий,Заянцкая,3,zayantsky,zayantskaya,-,-
Зборамирские,Зборамирский,Зборамирская,2,zboramirsky,zboramirskaya,-,-
Зборомирские,Зборомирский,Зборомирская,2,zboromirsky,zboromirskaya,36,23
Збруев,Збруев,Збруева,6,zbruev,zbrueva,189,71
Звалинские,Звалинский,Звалинская,2,zvalinsky,zvalinskaya,32,39
Зварковский,Зварковский,Зварковская,3,zvarkovsky,zvarkovskaya,3,2
Звегинцев,Звегинцев,Звегинцева,2,zvegintsev,zvegintseva,197,226
Звездеевы,Звездеев,Звездеева,1,zvezdeev,zvezdeeva,1,5
Зверевы,Зверев,Зверева,1,zverev,zvereva,32730,29656
Зволинские,Зволинский,Зволинская,3,zvolinsky,zvolinskaya,144,97
Звягины,Звягин,Звягина,6,zvyagin,zvyagina,5348,5733
Звягинцев,Звягинцев,Звягинцева,6,zvyagintsev,zvyagintseva,8046,15096
Звягинцов,Звягинцов,Звягинцова,6,zvyagintsov,zvyagintsova,5,11
Зейферт,Зейферт,Зейферт,3,zeyfert,zeyfert,602,602
Зеленин,Зеленин,Зеленина,3,zelenin,zelenina,7342,8599
Зельверовичи,Зельверович,Зельверович,1,zelverovich,zelverovich,-,-
Зельтман,Зельтман,Зельтман,3,zeltman,zeltman,10,10
Зембулатов,Зембулатов,Зембулатова,6,zembulatov,zembulatova,-,-
Зенбулатов,Зенбулатов,Зенбулатова,6,zenbulatov,zenbulatova,-,-
Зимбулатов,Зимбулатов,Зимбулатова,6,zimbulatov,zimbulatova,15,20
Земские,Земский,Земская,2,zemsky,zemskaya,687,1144
Зенгер,Зенгер,Зенгер,3,zenger,zenger,273,273
Зенкевичи,Зенкевич,Зенкевич,2,zenkevich,zenkevich,346,346
Зенковичи,Зенкович,Зенкович,2,zenkovich,zenkovich,697,697
Зеркалевы,Зеркалев,Зеркалева,3,zerkalev,zerkaleva,5,10
Зеркальниковы,Зеркальников,Зеркальникова,2,zerkalnikov,zerkalnikova,11,18
Зернин,Зернин,Зернина,3,zernin,zernina,583,749
Зерновы,Зернов,Зернова,3,zernov,zernova,3091,3427
Зерщиковы,Зерщиков,Зерщикова,3,zerschikov,zerschikova,84,44
Зернщиковы,Зернщиков,Зернщикова,3,zernschikov,zernschikova,-,-
Зиберты,Зиберт,Зиберт,2,zibert,zibert,837,837
Фон-Зигер-Корн,Фон-Зигер-Корн,Фон-Зигер-Корн,1,fon-ziger-korn,fon-ziger-korn,-,-
Зиловы,Зилов,Зилова,6,zilov,zilova,94,55
Зиновьевы,Зиновьев,Зиновьева,1,zinovev,zinoveva,15584,15098
Злобины,Злобин,Злобина,3,zlobin,zlobina,16765,19311
Злыгостевы,Злыгостев,Злыгостева,3,zlygostev,zlygosteva,1364,1605
Злегостев,Злегостев,Злегостева,3,zlegostev,zlegosteva,-,-
Змеевы,Змеев,Змеева,2,zmeev,zmeeva,2392,2166
Змеовы,Змеов,Змеова,2,zmeov,zmeova,-,-
Змиевы,Змиев,Змиева,2,zmiev,zmieva,48,54
Знаменские,Знаменский,Знаменская,3,znamensky,znamenskaya,1458,1664
Зограф,Зограф,Зограф,2,zograf,zograf,41,41
Золотаревы,Золотарев,Золотарева,2,zolotarev,zolotareva,11931,13980
Золотиловы,Золотилов,Золотилова,6,zolotilov,zolotilova,144,798
Золотницкие,Золотницкий,Золотницкая,2,zolotnitsky,zolotnitskaya,25,196
Золотов,Золотов,Золотова,2,zolotov,zolotova,12299,15931
Золотухины,Золотухин,Золотухина,3,zolotukhin,zolotukhina,11694,15020
Зоны,Зон,Зон,2,zon,zon,137,137
Зорины,Зорин,Зорина,3,zorin,zorina,25049,27659
Зоркины,Зоркин,Зоркина,3,zorkin,zorkina,1993,3337
Зотовы,Зотов,Зотова,2,zotov,zotova,30137,43652
Зубатовы,Зубатов,Зубатова,3,zubatov,zubatova,207,598
Зубачев,Зубачев,Зубачева,2,zubachev,zubacheva,157,170
